Directory,Filename,Type
/Users/garveyd/Desktop/2016-09-27 - West Memphis 3/Case - Echols and Baldwin,01 - John Fogleman Opening Statment.txt,Monologue
/Users/garveyd/Desktop/2016-09-27 - West Memphis 3/Case - Echols and Baldwin,02 - Paul Ford Opening Statement.txt,Monologue
/Users/garveyd/Desktop/2016-09-27 - West Memphis 3/Case - Echols and Baldwin,03 - Scott Davidson Opening Statement.txt,Monologue
/Users/garveyd/Desktop/2016-09-27 - West Memphis 3/Case - Echols and Baldwin,04 - Bryn Ridge.txt,Dialogue
/Users/garveyd/Desktop/2016-09-27 - West Memphis 3/Case - Echols and Baldwin,05 - Frank Peretti.txt,Dialogue
/Users/garveyd/Desktop/2016-09-27 - West Memphis 3/Case - Echols and Baldwin,06 - Michael Carson.txt,Dialogue
/Users/garveyd/Desktop/2016-09-27 - West Memphis 3/Case - Echols and Baldwin,07 - Deanna Holcomb.txt,Dialogue
/Users/garveyd/Desktop/2016-09-27 - West Memphis 3/Case - Echols and Baldwin,08 - Dale Griffis.txt,Dialogue
/Users/garveyd/Desktop/2016-09-27 - West Memphis 3/Case - Echols and Baldwin,09 - Mike Allen.txt,Dialogue
/Users/garveyd/Desktop/2016-09-27 - West Memphis 3/Case - Echols and Baldwin,10 - Christy Van Vickle.txt,Dialogue
/Users/garveyd/Desktop/2016-09-27 - West Memphis 3/Case - Echols and Baldwin,11 - Jodee Medford.txt,Dialogue
/Users/garveyd/Desktop/2016-09-27 - West Memphis 3/Case - Echols and Baldwin,12 - Pam Hutchison.txt,Dialogue
/Users/garveyd/Desktop/2016-09-27 - West Memphis 3/Case - Echols and Baldwin,13 - Damien Echols.txt,Dialogue
/Users/garveyd/Desktop/2016-09-27 - West Memphis 3/Case - Echols and Baldwin,14 - Christopher Morgan.txt,Dialogue
/Users/garveyd/Desktop/2016-09-27 - West Memphis 3/Case - Echols and Baldwin,15 - Gary Gitchell.txt,Dialogue
/Users/garveyd/Desktop/2016-09-27 - West Memphis 3/Case - Echols and Baldwin,16 - John Mark Byers.txt,Dialogue
/Users/garveyd/Desktop/2016-09-27 - West Memphis 3/Case - Echols and Baldwin,17 - Robert Hicks.txt,Dialogue
/Users/garveyd/Desktop/2016-09-27 - West Memphis 3/Case - Echols and Baldwin,18 - Closing Argument of John Fogleman.txt,Monologue
/Users/garveyd/Desktop/2016-09-27 - West Memphis 3/Case - Echols and Baldwin,19 - Closing Argument of Val Price.txt,Monologue
/Users/garveyd/Desktop/2016-09-27 - West Memphis 3/Case - Echols and Baldwin,20 - Closing Argument of Paul Ford.txt,Monologue
/Users/garveyd/Desktop/2016-09-27 - West Memphis 3/Case - Echols and Baldwin,21 - Closing Argument of Brent Davis.txt,Monologue
/Users/garveyd/Desktop/2016-09-27 - West Memphis 3/Case - Misskelley,Misskelley 1994 - 01 - Prosecutor Opening Statement.txt,Monologue
/Users/garveyd/Desktop/2016-09-27 - West Memphis 3/Case - Misskelley,Misskelley 1994 - 02 - Defender Opening Statement.txt,Monologue
/Users/garveyd/Desktop/2016-09-27 - West Memphis 3/Case - Misskelley,Misskelley 1994 - 03 - Detective Bryn Ridge.txt,Dialogue
/Users/garveyd/Desktop/2016-09-27 - West Memphis 3/Case - Misskelley,Misskelley 1994 - 04 - Dr Frank Peretti.txt,Dialogue
/Users/garveyd/Desktop/2016-09-27 - West Memphis 3/Case - Misskelley,Misskelley 1994 - 05 - Gary Gitchell.txt,Dialogue
/Users/garveyd/Desktop/2016-09-27 - West Memphis 3/Case - Misskelley,Misskelley 1994 - 06 - Gary Gitchell.txt,Dialogue
/Users/garveyd/Desktop/2016-09-27 - West Memphis 3/Case - Misskelley,Misskelley 1994 - 07 - Vicki Hutcheson.txt,Dialogue
/Users/garveyd/Desktop/2016-09-27 - West Memphis 3/Case - Misskelley,Misskelley 1994 - 08 - Lisa Sakevicius.txt,Dialogue
/Users/garveyd/Desktop/2016-09-27 - West Memphis 3/Case - Misskelley,Misskelley 1994 - 09 - Marty King.txt,Dialogue
/Users/garveyd/Desktop/2016-09-27 - West Memphis 3/Case - Misskelley,Misskelley 1994 - 10 - Warren Holmes.txt,Dialogue
/Users/garveyd/Desktop/2016-09-27 - West Memphis 3/Case - Misskelley,Misskelley 1994 - 11 - Richard Ofshe.txt,Dialogue
/Users/garveyd/Desktop/2016-09-27 - West Memphis 3/Case - Misskelley,Misskelley 1994 - 12 - Closing Arguments John Fogleman.txt,Monologue
/Users/garveyd/Desktop/2016-09-27 - West Memphis 3/Case - Misskelley,Misskelley 1994 - 13 - Closing Arguments Dan Stidham.txt,Monologue
/Users/garveyd/Desktop/2016-09-27 - West Memphis 3/Case - Misskelley,Misskelley 1994 - 14 - Closing Arguments Brent Davis.txt,Monologue